ResponseID,DistrictCode,A1_Practice,A1_Importance,A2_Practice,A2_Importance,A3_Practice,A3_Importance,A4_Practice,A4_Importance,A5_Practice,A5_Importance,A6_Practice,A6_Importance,A7_Practice,A7_Importance,A8_Practice,A8_Importance,A9_Practice,A9_Importance,A10_Practice,A10_Importance,B1_Practice,B1_Importance,B2_Practice,B2_Importance,B3_Practice,B3_Importance,B4_Practice,B4_Importance,B5_Practice,B5_Importance,B6_Practice,B6_Importance,B7_Practice,B7_Importance,C1_Practice,C1_Importance,C2_Practice,C2_Importance,C3_Practice,C3_Importance,C4_Practice,C4_Importance,C5_Practice,C5_Importance,C6_Practice,C6_Importance,C7_Practice,C7_Importance,D1_Practice,D1_Importance,D2_Practice,D2_Importance,D3_Practice,D3_Importance,D4_Practice,D4_Importance,D5_Practice,D5_Importance,D6_Practice,D6_Importance,D7_Practice,D7_Importance
R_00001,D007,4,5,2,5,4,3,3,5,3,2,3,5,4,5,4,4,5,3,4,5,4,5,4,4,2,3,3,2,3,3,3,4,3,3,3,3,5,4,4,3,4,3,3,5,4,4,4,5,5,3,2,3,3,3,5,5,3,4,3,5,4,3
R_00002,D005,3,4,5,4,3,6,4,3,3,3,4,5,4,3,4,6,4,5,5,3,5,5,4,3,4,3,4,4,5,5,3,4,3,5,5,3,4,4,3,5,4,5,4,3,4,3,5,5,5,3,3,5,5,3,4,3,5,5,3,4,4,3
R_00003,D014,3,4,5,3,3,5,4,4,4,3,3,3,4,3,3,3,4,3,5,5,3,3,4,3,3,5,4,4,5,5,3,3,4,4,4,5,4,5,3,4,3,5,3,3,4,4,3,3,5,4,5,4,3,5,5,5,5,5,3,4,3,4
R_00004,D001,5,3,5,4,4,5,5,4,5,3,3,5,4,4,5,3,4,4,5,3,5,3,3,4,4,3,3,5,3,4,4,4,4,4,5,3,5,3,4,4,3,3,5,3,4,5,5,3,3,3,5,5,5,3,3,5,4,4,5,4,2,5
R_00005,D005,5,3,3,3,4,3,4,5,3,5,3,4,5,5,3,4,3,3,5,5,3,5,4,4,3,3,5,5,4,5,4,3,3,4,5,5,5,5,3,3,3,5,5,4,5,3,5,5,6,5,5,3,5,4,5,5,5,5,3,5,3,5
R_00006,D014,5,4,3,5,3,2,3,3,5,5,3,4,3,5,4,5,3,5,3,5,3,3,4,4,3,4,4,3,4,3,4,2,5,4,4,4,4,3,2,4,3,3,5,4,3,3,3,3,3,3,3,5,4,5,4,3,4,2,3,4,4,4
R_00007,D007,3,4,5,5,3,3,4,4,3,5,5,4,3,3,3,3,4,5,3,4,4,3,5,4,3,4,2,5,5,3,4,3,5,4,3,3,5,4,5,4,5,4,5,5,4,5,4,5,4,5,5,4,3,3,4,5,4,4,3,3,3,3
R_00008,D005,3,3,5,5,3,4,4,4,3,4,5,4,5,5,5,4,3,4,5,5,5,4,5,4,4,3,3,4,3,4,5,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,5,4,5,5,3,3,3,4,6,4,4,5,4,5,5
R_00009,D004,2,2,4,4,3,4,4,3,4,4,2,4,5,2,2,3,4,5,3,4,2,4,4,2,4,5,4,2,5,4,3,3,3,4,3,5,4,2,5,4,5,4,3,4,5,3,4,4,3,3,4,3,5,5,2,5,3,3,4,3,2,5
R_00010,D004,5,3,5,4,3,2,5,2,4,4,4,4,4,4,5,2,3,4,3,4,4,4,3,4,3,4,3,3,3,3,3,4,4,3,3,4,4,5,4,3,3,3,3,3,2,4,3,5,4,4,3,5,4,5,4,4,4,3,2,5,4,5
R_00011,D006,4,2,3,4,3,5,2,4,4,4,3,4,3,3,5,5,3,4,4,4,5,3,3,4,3,3,2,2,3,4,3,3,4,4,3,4,5,4,4,4,5,3,4,4,5,5,2,3,3,4,4,3,2,4,4,5,4,4,2,2,3,3
R_00012,D005,5,5,4,5,5,4,3,2,4,4,4,5,3,4,4,4,2,3,3,4,5,3,4,3,5,5,4,3,3,3,5,3,4,5,4,4,3,3,3,4,4,4,3,4,5,3,4,2,5,4,3,3,4,4,2,5,5,3,2,5,4,4
R_00013,D007,5,5,3,4,3,5,4,5,5,3,5,4,5,4,5,3,3,4,5,4,3,4,3,4,4,4,3,3,4,4,3,5,2,5,4,5,3,4,5,5,4,2,4,4,5,5,4,4,4,4,4,4,3,4,5,3,4,4,5,5,5,3
R_00014,D005,5,5,3,3,5,5,6,5,4,3,5,5,4,5,5,3,5,4,4,3,4,4,5,3,3,5,5,3,5,3,4,3,3,3,5,5,5,3,4,4,4,5,4,3,5,3,4,4,3,4,4,6,4,6,5,4,4,5,5,3,5,4
R_00015,D015,5,4,3,4,4,4,4,4,5,4,5,4,3,4,4,4,3,3,5,3,3,4,5,4,5,5,3,5,4,5,5,3,3,5,3,5,5,4,5,5,5,3,5,2,4,4,4,4,4,5,5,3,3,2,5,4,5,3,2,5,5,3
R_00016,D006,5,3,4,2,5,3,4,4,4,5,3,4,3,3,2,4,3,5,2,3,3,5,5,2,4,4,5,3,3,3,3,5,4,4,4,4,2,5,3,3,4,2,4,3,3,5,3,3,5,2,5,3,3,3,3,4,2,2,5,3,3,3
R_00017,D001,4,5,4,5,4,3,4,6,3,5,5,4,4,6,3,4,4,5,4,5,3,3,5,3,4,5,4,4,6,4,4,5,3,5,5,5,5,5,3,4,3,4,4,4,3,4,5,4,3,6,3,5,3,3,5,5,4,5,4,4,3,4
R_00018,D009,5,5,6,5,4,4,3,5,3,3,5,4,5,4,5,5,6,5,5,5,3,6,5,4,3,5,4,4,3,5,4,4,3,5,3,5,3,4,4,4,5,5,4,3,3,3,5,5,4,5,4,4,4,5,3,4,4,5,4,5,3,4
R_00019,D008,3,3,2,3,3,2,4,3,3,4,4,5,4,2,5,2,2,5,5,4,4,4,3,2,2,3,4,4,5,5,2,5,3,4,4,3,3,3,3,3,4,2,4,5,3,4,4,4,3,2,3,4,4,4,3,4,3,4,4,3,5,4
R_00020,D009,5,5,3,3,4,4,3,3,4,4,4,3,5,3,5,5,4,4,4,4,5,5,4,5,5,4,4,3,3,3,5,4,5,4,3,3,4,4,4,3,4,3,4,4,4,5,5,3,3,5,3,5,5,5,5,4,4,3,4,6,5,4
R_00021,D008,4,4,5,5,5,5,5,5,5,5,4,4,4,3,4,6,4,4,3,3,5,3,5,5,6,3,4,5,3,4,3,5,5,5,3,4,4,5,4,4,4,5,4,5,4,5,4,5,4,6,6,4,4,4,5,6,5,5,3,4,5,6
R_00022,D007,5,5,3,4,3,5,3,3,5,3,3,3,2,2,4,3,5,3,2,5,5,4,4,3,3,5,4,3,4,3,2,2,3,5,4,4,4,2,3,3,2,3,4,3,2,5,4,2,4,3,3,3,4,3,3,4,2,5,2,4,4,5
R_00023,D007,4,4,5,3,2,5,3,5,4,5,5,3,3,4,5,3,5,4,4,4,5,3,5,4,3,3,3,3,5,4,5,4,3,5,3,3,5,5,3,3,3,5,5,5,4,5,4,4,5,4,5,5,3,4,5,4,3,3,4,3,4,4
R_00024,D010,2,5,3,5,3,5,5,3,4,3,5,4,5,3,4,5,2,3,5,3,4,4,4,4,5,3,5,4,4,4,4,3,3,5,4,4,4,3,3,4,5,3,5,4,3,5,4,5,4,3,4,5,3,3,3,4,5,5,4,5,4,5
R_00025,D007,3,3,4,2,4,3,5,4,4,2,3,5,4,4,4,5,2,5,4,3,4,3,5,4,4,3,5,3,5,2,2,3,3,3,4,3,5,5,5,3,4,4,2,3,4,4,3,5,3,4,4,4,5,4,5,2,2,4,4,4,4,3
R_00026,D009,4,3,5,4,5,5,3,3,3,4,4,3,4,3,5,5,5,5,3,4,4,3,4,3,3,3,3,4,4,3,5,3,3,4,3,5,4,4,4,3,3,5,4,5,3,4,3,4,5,4,4,4,5,4,5,5,5,4,4,4,3,4
R_00027,D001,5,3,5,5,3,5,4,5,4,5,5,3,4,4,3,3,4,4,4,4,4,3,4,3,5,5,3,4,5,4,5,3,5,4,5,5,4,5,5,5,3,4,5,5,5,4,5,4,3,4,4,5,3,5,3,5,3,3,3,3,5,4
